ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Gender_0.0,Gender_1.0,Married_0.0,Married_1.0,Dependents_0.0,Dependents_1.0,Dependents_2.0,Dependents_3.0,Education_0,Education_1,Self_Employed_0.0,Self_Employed_1.0,Credit_History_0.0,Credit_History_1.0,Property_Area_0,Property_Area_1,Property_Area_2,Loan_Status
5849,0,126,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
4583,1508,128,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0
3000,0,66,360,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1
2583,2358,120,360,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1
6000,0,141,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
5417,4196,267,360,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
2333,1516,95,360,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1
3036,2504,158,360,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0
4006,1526,168,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
12841,10968,349,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
3200,700,70,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
2500,1840,109,360,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
3073,8106,200,360,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
1853,2840,114,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0
1299,1086,17,120,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
4950,0,125,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
3596,0,100,240,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1
3510,0,76,360,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
4887,0,133,360,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
2600,3500,115,342.201873,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1
7660,0,104,360,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0
5955,5625,315,360,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
2600,1911,116,360,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0
3365,1917,112,360,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
3717,2925,151,360,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0
9560,0,191,360,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
2799,2253,122,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4226,1040,110,360,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
1442,0,35,360,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
3750,2083,120,360,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
4166,3369,201,360,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
3167,0,74,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
4692,0,106,360,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0
3500,1667,114,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
12500,3000,320,360,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
2275,2067,126,360,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1
1828,1330,100,342.201873,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0
3667,1459,144,360,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1
4166,7210,184,360,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
